
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
16,J,JALNA,1,03:50:00,03:52:00,2,601,2,
17,AWB,AURANGABAD,1,06:25:00,06:30:00,5,663,2,
18,LSR,LASUR,1,06:53:00,06:55:00,2,697,2,
19,RGO,ROTEGAON,1,07:03:00,07:05:00,2,724,2,
20,MMR,MANMAD JN,1,08:45:00,08:50:00,5,776,2,
21,NK,NASIK ROAD,1,09:48:00,09:50:00,2,850,2,
22,DVL,DEVLALI,1,09:58:00,10:00:00,2,855,2,
23,IGP,IGATPURI,1,11:08:00,11:10:00,2,900,2,
24,KYN,KALYAN JN,1,12:40:00,12:45:00,5,983,2,
25,TNA,THANE,1,13:08:00,13:10:00,2,1004,2,
26,LTT,LOKMANYATILAK T,1,13:55:00,Destination,0,1021,2,


Train,11265,AMBIKAPUR EXPRES,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,JBP,JABALPUR,1,Source,14:15:00,0,0,1,
2,SHR,SIHORA ROAD,1,14:46:00,14:48:00,2,39,1,
3,KTE,KATNI,1,15:40:00,16:00:00,20,91,1,
4,UMR,UMARIA,1,17:04:00,17:06:00,2,151,1,
5,BRS,BIRSINGHPUR,1,17:30:00,17:32:00,2,181,1,
6,SDL,SHAHDOL,1,18:18:00,18:28:00,10,218,1,
7,BUH,BURHAR,1,18:47:00,18:49:00,2,238,1,
8,APR,ANUPPUR JN,1,19:13:00,19:18:00,5,259,1,
9,KTMA,KOTMA,1,19:45:00,19:47:00,2,290,1,
10,BJRI,BIJURI,1,20:10:00,20:15:00,5,306,1,
11,BRH,BAIKUNTHPUR RD,1,21:08:00,21:10:00,2,358,1,
12,KTO,KATORA,1,21:26:00,21:27:00,1,375,1,
13,BSPR,BISHRAMPUR,1,22:00:00,22:02:00,2,414,1,
14,ABKP,AMBIKAPUR,1,23:00:00,Destination,0,433,1,


Train,11266,ABKP JBP EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,ABKP,AMBIKAPUR,1,Source,06:20:00,0,0,1,
2,BSPR,BISHRAMPUR,1,06:38:00,06:40:00,2,20,1,
3,KTO,KATORA,1,07:13:00,07:14:00,1,59,1,
4,BRH,BAIKUNTHPUR RD,1,07:31:00,07:33:00,2,76,1,
5,BJRI,BIJURI,1,08:33:00,08:35:00,2,128,1,
6,KTMA,KOTMA,1,08:50:00,08:52:00,2,143,1,
7,APR,ANUPPUR JN,1,09:25:00,09:30:00,5,175,1,
8,BUH,BURHAR,1,09:45:00,09:47:00,2,196,1,
9,SDL,SHAHDOL,1,10:20:00,10:30:00,10,216,1,
10,BRS,BIRSINGHPUR,1,11:06:00,11:08:00,2,253,1,
11,UMR,UMARIA,1,11:32:00,11:34:00,2,283,1,
12,KTE,KATNI,1,13:10:00,13:30:00,20,343,1,
13,SHR,SIHORA ROAD,1,14:03:00,14:05:00,2,395,1,
14,JBP,JABALPUR,1,14:55:00,Destination,0,433,1,


Train,11406,AMI PUNE EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,AMI,AMRAVATI,1,Source,18:30:00,0,0,1,
2,BD,BADNERA JN,1,18:50:00,18:55:00,5,10,1,
3,MZR,MURTAJAPUR,1,19:23:00,19:25:00,2,51,1,
4,AK,AKOLA JN,1,20:25:00,20:45:00,20,89,1,
5,WHM,WASHIM,1,21:49:00,21:50:00,1,167,1,
6,HNL,HINGOLI DECCAN,1,22:29:00,22:30:00,1,215,1,
7,PAU,PURNA JN,1,23:58:00,00:03:00,5,295,2,
8,PBN,PARBHANI JN,1,00:38:00,00:40:00,2,324,2,
9,PRLI,PARLI VAIJNATH,1,03:00:00,03:10:00,10,388,2,
10,LTRR,LATUR ROAD,1,05:20:00,05:30:00,10,451,2,
11,LUR,LATUR,1,06:20:00,06:30:00,10,484,2,
12,UMD,USMANABAD,1,07:50:00,07:55:00,5,563,2,
13,BTW,BARSI TOWN,1,08:28:00,08:30:00,2,599,2,
14,KWV,KURDUVADI,1,09:35:00,09:40:00,5,637,2,
15,JEUR,JEUR,1,10:04:00,10:05:00,1,671,2,
16,DD,DAUND JN,1,11:40:00,11:50:00,10,746,2,
17,URI,URULI,1,12:29:00,12:30:00,1,793,2,
18,PUNE,PUNE JN,1,13:15:00,Destination,0,821,2,


Train,12112,AMRAVATI CSTM EX,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,AMI,AMRAVATI,1,Source,19:05:00,0,0,1,
2,BD,BADNERA JN,1,19:20:00,19:25:00,5,10,1,
3,MZR,MURTAJAPUR,1,19:58:00,20:00:00,2,51,1,
4,AK,AKOLA JN,1,20:25:00,20:30:00,5,89,1,
5,SEG,SHEGAON,1,20:58:00,21:00:00,2,126,1,
6,NN,NANDURA,1,21:18:00,21:20:00,2,150,1,
7,MKU,MALKAPUR,1,21:38:00,21:40:00,2,178,1,
8,BSL,BHUSAVAL JN,1,22:40:00,22:50:00,10,228,1,
9,JL,JALGAON JN,1,23:13:00,23:15:00,2,252,1,
10,NK,NASIK ROAD,1,01:50:00,01:55:00,5,485,2,
11,IGP,IGATPURI,1,03:25:00,03:30:00,5,536,2,
12,KYN,KALYAN JN,1,05:07:00,05:10:00,3,619,2,
13,DR,DADAR,1,05:57:00,06:00:00,3,664,2,
14,CSTM,MUMBAI CST,1,06:25:00,Destination,0,672,2,


Train,12129,AZAD HIND EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,PUNE,PUNE JN,1,Source,18:25:00,0,0,1,
2,DD,DAUND JN,1,19:50:00,20:05:00,15,76,1,
3,ANG,AHMADNAGAR,1,21:22:00,21:25:00,3,160,1,
4,BAP,BELAPUR,1,22:23:00,22:25:00,2,227,1,
5,KPG,KOPARGAON,1,23:18:00,23:20:00,2,271,1,
6,MMR,MANMAD JN,1,00:30:00,00:35:00,5,313,2,
7,JL,JALGAON JN,1,02:33:00,02:35:00,2,473,2,
8,BSL,BHUSAVAL JN,1,03:20:00,03:30:00,10,497,2,
9,MKU,MALKAPUR,1,04:13:00,04:15:00,2,547,2,
10,SEG,SHEGAON,1,04:53:00,04:55:00,2,599,2,
11,AK,AKOLA JN,1,05:20:00,05:25:00,5,636,2,
12,BD,BADNERA JN,1,06:55:00,07:00:00,5,715,2,
13,WR,WARDHA JN,1,08:37:00,08:40:00,3,811,2,
14,NGP,NAGPUR,1,10:10:00,10:20:00,10,889,2,
15,BRD,BHANDARA ROAD,1,11:04:00,11:06:00,2,951,2,
16,TMR,TUMSAR ROAD,1,11:22:00,11:24:00,2,969,2,
17,G,GONDIA JN,1,12:06:00,12:08:00,2,1019,2,
18,RJN,RAJ NANDGAON,1,13:22:00,13:24:00,2,1124,2,
19,DURG,DURG,1,14:05:00,14:10:00,5,1153,2,
20,R,RAIPUR JN,1,14:45:00,14:55:00,10,1190,2,
21,BSP,BILASPUR JN,1,16:35:00,16:50:00,15,1300,2,
22,CPH,CHAMPA,1,17:33:00,17:35:00,2,1353,2,
23,RIG,RAIGARH,1,18:25:00,18:27:00,2,1433,2,
24,JSG,JHARSUGUDA JN,1,19:45:00,19:47:00,2,1506,2,
25,ROU,ROURKELA,1,21:02:00,21:17:00,15,1607,2,
26,CKP,CHAKRADHARPUR,1,22:36:00,22:41:00,5,1708,2,
27,TATA,TATANAGAR JN,1,23:45:00,23:55:00,10,1771,2,
28,KGP,KHARAGPUR JN,1,01:42:00,01:47:00,5,1905,3,
29,HWH,HOWRAH JN,1,03:50:00,Destination,0,2020,3,


Train,12130,AZAD HIND EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,HWH,HOWRAH JN,1,Source,21:55:00,0,0,1,
2,KGP,KHARAGPUR JN,1,23:35:00,23:40:00,5,116,1,
3,TATA,TATANAGAR JN,1,01:30:00,01:37:00,7,250,2,
4,CKP,CHAKRADHARPUR,1,02:32:00,02:37:00,5,312,2,
5,ROU,ROURKELA,1,03:55:00,04:05:00,10,413,2,
6,JSG,JHARSUGUDA JN,1,05:50:00,05:52:00,2,515,2,
7,RIG,RAIGARH,1,06:47:00,06:49:00,2,588,2,
8,CPH,CHAMPA,1,07:47:00,07:49:00,2,668,2,
9,BSP,BILASPUR JN,1,09:00:00,09:15:00,15,720,2,
10,R,RAIPUR JN,1,10:45:00,10:55:00,10,831,2,
11,DURG,DURG,1,11:40:00,11:45:00,5,867,2,
